Chr	start	end	number	type	color
chr1	0	99999	3	rect	blue-red
chr1	100000	199999	1	rect	blue-red
chr1	200000	299999	1	rect	blue-red
chr1	700000	799999	2	rect	blue-red
chr1	800000	899999	1	rect	blue-red
chr1	1400000	1499999	1	rect	blue-red
chr1	1500000	1599999	1	rect	blue-red
chr1	1600000	1699999	1	rect	blue-red
chr1	1800000	1899999	2	rect	blue-red
chr1	2100000	2199999	1	rect	blue-red
chr1	2300000	2399999	1	rect	blue-red
chr1	2400000	2499999	2	rect	blue-red
chr1	2500000	2599999	1	rect	blue-red
chr1	2600000	2699999	1	rect	blue-red
chr1	2900000	2999999	1	rect	blue-red
chr1	3100000	3199999	1	rect	blue-red
chr1	3200000	3299999	1	rect	blue-red
chr1	3400000	3499999	2	rect	blue-red
chr1	3500000	3599999	2	rect	blue-red
chr1	3600000	3699999	2	rect	blue-red
chr1	3800000	3899999	1	rect	blue-red
chr1	3900000	3999999	1	rect	blue-red
chr1	4000000	4099999	1	rect	blue-red
chr1	4400000	4499999	1	rect	blue-red
chr1	4500000	4599999	2	rect	blue-red
chr1	4700000	4799999	1	rect	blue-red
chr1	4800000	4899999	1	rect	blue-red
chr1	5000000	5099999	2	rect	blue-red
chr1	5500000	5599999	1	rect	blue-red
chr1	5600000	5699999	2	rect	blue-red
chr1	5700000	5799999	1	rect	blue-red
chr1	5800000	5899999	1	rect	blue-red
chr1	6000000	6099999	1	rect	blue-red
chr1	6100000	6199999	1	rect	blue-red
chr1	6200000	6299999	1	rect	blue-red
chr1	6400000	6499999	2	rect	blue-red
chr1	6700000	6799999	2	rect	blue-red
chr1	6900000	6999999	1	rect	blue-red
chr1	7000000	7099999	2	rect	blue-red
chr1	7200000	7299999	1	rect	blue-red
chr1	8000000	8099999	1	rect	blue-red
chr1	8100000	8199999	5	rect	blue-red
chr1	8200000	8299999	3	rect	blue-red
chr1	8300000	8399999	2	rect	blue-red
chr1	8600000	8699999	1	rect	blue-red
chr1	8700000	8799999	2	rect	blue-red
chr1	8800000	8899999	4	rect	blue-red
chr1	9100000	9199999	1	rect	blue-red
chr1	9200000	9299999	3	rect	blue-red
chr1	9300000	9399999	1	rect	blue-red
chr1	9900000	9999999	1	rect	blue-red
chr1	10000000	10099999	3	rect	blue-red
chr1	10100000	10199999	1	rect	blue-red
