Chr	start	end	number	type	color
chr1	0	99999	2	line	yellow
chr1	100000	199999	1	line	yellow
chr1	300000	399999	1	line	yellow
chr1	400000	499999	3	line	yellow
chr1	700000	799999	4	line	yellow
chr1	1000000	1099999	2	line	yellow
chr1	1300000	1399999	3	line	yellow
chr1	1400000	1499999	1	line	yellow
chr1	1500000	1599999	3	line	yellow
chr1	1600000	1699999	7	line	yellow
chr1	1700000	1799999	2	line	yellow
chr1	1800000	1899999	3	line	yellow
chr1	1900000	1999999	1	line	yellow
chr1	2100000	2199999	1	line	yellow
chr1	2200000	2299999	1	line	yellow
chr1	2300000	2399999	2	line	yellow
chr1	2500000	2599999	1	line	yellow
chr1	2600000	2699999	3	line	yellow
chr1	2700000	2799999	1	line	yellow
chr1	2900000	2999999	3	line	yellow
chr1	3000000	3099999	3	line	yellow
chr1	3100000	3199999	1	line	yellow
chr1	3200000	3299999	3	line	yellow
chr1	3300000	3399999	2	line	yellow
chr1	3400000	3499999	6	line	yellow
chr1	3500000	3599999	4	line	yellow
chr1	3600000	3699999	1	line	yellow
chr1	3700000	3799999	6	line	yellow
chr1	3800000	3899999	2	line	yellow
chr1	3900000	3999999	2	line	yellow
chr1	4200000	4299999	1	line	yellow
chr1	4400000	4499999	2	line	yellow
chr1	4600000	4699999	2	line	yellow
chr1	4700000	4799999	3	line	yellow
chr1	5000000	5099999	1	line	yellow
chr1	5200000	5299999	3	line	yellow
chr1	5300000	5399999	1	line	yellow
chr1	5400000	5499999	8	line	yellow
chr1	5500000	5599999	1	line	yellow
chr1	5600000	5699999	1	line	yellow
chr1	5700000	5799999	4	line	yellow
chr1	5800000	5899999	2	line	yellow
chr1	5900000	5999999	1	line	yellow
chr1	6000000	6099999	2	line	yellow
chr1	6200000	6299999	1	line	yellow
chr1	6300000	6399999	1	line	yellow
chr1	6400000	6499999	2	line	yellow
chr1	6500000	6599999	2	line	yellow
chr1	6600000	6699999	2	line	yellow
chr1	6700000	6799999	4	line	yellow
chr1	6800000	6899999	1	line	yellow
chr1	6900000	6999999	3	line	yellow
chr1	7000000	7099999	4	line	yellow
chr1	7100000	7199999	1	line	yellow
chr1	7200000	7299999	2	line	yellow
chr1	7300000	7399999	4	line	yellow
chr1	7400000	7499999	1	line	yellow
chr1	7800000	7899999	2	line	yellow
chr1	8000000	8099999	1	line	yellow
chr1	8100000	8199999	1	line	yellow
chr1	8200000	8299999	6	line	yellow
chr1	8400000	8499999	2	line	yellow
chr1	8500000	8599999	3	line	yellow
chr1	8600000	8699999	1	line	yellow
chr1	8700000	8799999	1	line	yellow
chr1	8800000	8899999	2	line	yellow
chr1	8900000	8999999	1	line	yellow
chr1	9100000	9199999	1	line	yellow
chr1	9200000	9299999	6	line	yellow
chr1	9300000	9399999	2	line	yellow
chr1	9700000	9799999	2	line	yellow
chr1	9800000	9899999	2	line	yellow
chr1	9900000	9999999	3	line	yellow
chr1	10000000	10099999	3	line	yellow
chr1	10100000	10199999	5	line	yellow
chr1	10200000	10299999	1	line	yellow
chr1	10500000	10599999	1	line	yellow
chr1	10600000	10699999	1	line	yellow
chr1	10700000	10799999	3	line	yellow
chr1	10800000	10899999	4	line	yellow
chr1	10900000	10999999	1	line	yellow
chr1	11000000	11099999	2	line	yellow
chr1	11100000	11199999	5	line	yellow
chr1	11200000	11299999	4	line	yellow
chr1	11300000	11399999	4	line	yellow
chr1	11400000	11499999	6	line	yellow
chr1	11600000	11699999	2	line	yellow
chr1	11700000	11799999	7	line	yellow
chr1	11800000	11899999	3	line	yellow
chr1	11900000	11999999	4	line	yellow
chr1	12000000	12099999	2	line	yellow
chr1	12200000	12299999	6	line	yellow
chr1	12300000	12399999	5	line	yellow
chr1	12400000	12499999	6	line	yellow
chr1	12500000	12599999	5	line	yellow
chr1	12600000	12699999	5	line	yellow
chr1	12700000	12799999	8	line	yellow
chr1	12800000	12899999	1	line	yellow
chr1	12900000	12999999	3	line	yellow
chr1	13000000	13099999	1	line	yellow
chr1	13100000	13199999	3	line	yellow
chr1	13200000	13299999	3	line	yellow
chr1	13300000	13399999	3	line	yellow
chr1	13400000	13499999	4	line	yellow
chr1	13500000	13599999	4	line	yellow
chr1	13700000	13799999	2	line	yellow
chr1	13800000	13899999	1	line	yellow
chr1	13900000	13999999	4	line	yellow
chr1	14000000	14099999	1	line	yellow
chr1	14100000	14199999	2	line	yellow
chr1	14200000	14299999	6	line	yellow
chr1	14300000	14399999	4	line	yellow
chr1	14400000	14499999	3	line	yellow
chr1	14600000	14699999	2	line	yellow
chr1	14700000	14799999	3	line	yellow
chr1	14800000	14899999	1	line	yellow
chr1	15000000	15099999	1	line	yellow
chr1	15100000	15199999	5	line	yellow
chr1	15400000	15499999	1	line	yellow
chr1	15500000	15599999	3	line	yellow
chr1	15700000	15799999	1	line	yellow
chr1	15800000	15899999	1	line	yellow
chr1	15900000	15999999	3	line	yellow
chr1	16100000	16199999	1	line	yellow
chr1	16200000	16299999	3	line	yellow
chr1	16300000	16399999	2	line	yellow
chr1	16500000	16599999	4	line	yellow
chr1	16600000	16699999	1	line	yellow
chr1	16700000	16799999	2	line	yellow
